Unnamed: 0,realSum,room_type,room_private,person_capacity,host_is_superhost,cleanliness_rating,guest_satisfaction_overall,bedrooms,dist,metro_dist,attr_index_norm,rest_index_norm
909,165.72002898347475,Entire home/apt,False,2.0,True,10.0,100.0,0,3.655184082649444,0.1614949760644107,4.445014026583712,2.27922326033842
910,211.29888039641915,Entire home/apt,False,4.0,True,9.0,93.0,2,8.237742785103311,0.8106649251075556,2.504930688671845,1.0700829396579754
911,279.550288666059,Entire home/apt,False,4.0,False,9.0,95.0,1,1.5683467032061755,0.2375240087300394,9.36914651008198,4.89014962568106
912,172.7321599700816,Entire home/apt,False,4.0,True,10.0,97.0,1,2.7588396488090368,0.3065646012731757,6.26914678884134,2.930345840591249
913,238.87992894373932,Entire home/apt,False,4.0,False,10.0,85.0,1,2.148480147566006,0.9765787731278806,10.705590272232977,3.9297046102536433
914,182.081667952224,Entire home/apt,False,4.0,False,9.0,88.0,1,2.341625047024306,0.4628698752241423,7.991437779392729,3.494961530036505
915,235.37386345043592,Entire home/apt,False,5.0,False,10.0,94.0,2,9.469482315881145,0.7149834139116571,1.9150254239871995,0.9092428864450112
916,182.081667952224,Entire home/apt,False,3.0,False,10.0,97.0,1,9.46949450577655,0.7149708625547375,1.9150231110929592,0.9092425846612406
917,196.8071430240984,Entire home/apt,False,3.0,True,10.0,96.0,1,2.881230119014597,0.281766734131035,7.237410562494413,3.5474158167915304
918,238.87992894373932,Entire home/apt,False,4.0,True,10.0,96.0,1,2.4984966306481384,0.3461907828961716,8.812260912439317,4.75354568077524
919,230.6991094593647,Entire home/apt,False,4.0,True,10.0,94.0,1,2.74709868804739,0.5779476767254889,6.355492914850144,2.950482304476882
920,263.1886496973097,Entire home/apt,False,4.0,False,10.0,97.0,1,2.1620522360916623,1.0380891149132163,8.956293048033638,3.8017108762076894
921,215.7398966879368,Entire home/apt,False,2.0,False,4.0,80.0,1,1.5000640405910428,0.449130818897319,8.79674625483381,4.663076749339598
922,283.99130495757663,Entire home/apt,False,4.0,False,9.0,81.0,2,2.278488953379303,0.5120482163243226,9.446114428090551,5.264780691829589
923,179.74429095668842,Private room,True,4.0,True,10.0,99.0,1,4.955546904712528,0.1057264920620127,3.51082983002005,1.643028096813454
924,127.62078395624432,Private room,True,2.0,True,9.0,98.0,1,2.3203954292953544,0.4904705882891416,9.37874588172251,5.334847578355702
925,139.30766893392237,Entire home/apt,False,4.0,False,10.0,98.0,1,2.2188251612719125,0.3224390269028891,8.44777523823751,4.293578850188087
926,249.3981254236496,Entire home/apt,False,2.0,True,10.0,97.0,1,2.8930420288654743,0.9115261683757512,5.383687801188856,2.695151266214939
927,324.66166467989626,Entire home/apt,False,4.0,True,10.0,100.0,1,0.4801543100574265,0.4565980311767516,21.429228447254715,13.3480347792772
928,312.9747797022182,Entire home/apt,False,4.0,False,9.0,96.0,1,1.2258653041419556,0.5024679828856223,12.984483487715616,6.687848104336047
929,276.04422317275555,Entire home/apt,False,2.0,True,10.0,99.0,0,1.3918268419637658,0.2284950122878389,10.025328142683133,5.219591924281905
930,240.0486174415072,Entire home/apt,False,2.0,False,10.0,98.0,1,0.2793097738955076,0.2860868578053281,23.564630310347447,19.12782847676433
